Name,Logo,Site,Funding Rounds,Location(s),Notes
Bloomberg Beta,7efb1b0061d0a6d64bc0710262fa52b0.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/5vYREa4vZoRL5iF69njxLg/H634TWETARZBO40ZthVFUdsm6iJ40trCUnK9vrrJX3esEhN2kV7GM-R_Op2_lkcdRoC6cq5-p8-S-7XdDiSKKJO3T4VV54RPQVp5wv7PamEP_p4kS58Vas3yFq-rlxkN/YdTYPs_xlR-NhIYY1QVT5wfotTBZmg-x5fK1Dj7xQNM),http://www.bloombergbeta.com/,Bloomberg Beta I,"SF Bay Area/Silicon Valley,""New York, NY""",
BlueYard Capital,haafv4fuknpeu9ajnrkh.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/BRufbfNbBdh_KEItw0HsKQ/kVHewuH-jevRJk1fne1vG6O1L1xXcXpisUnI3VHNHh1vYlgY5vsXiSWCmi1P33cUfTc3flZ7gaxW0QUzfOwuyAykBoll4AUD7e94YcX8jqhkuKt76Yo0tQg52W3fxyIr/oHPDUoB2G5-3LabkA9af7fP7s9AefgiOsaiChBGa_wM),http://blueyard.com/,BlueYard Capital I,Berlin,
BoldStart Ventures,kdufratlexxjucykluau.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/uTmY3xnnI2Ibn-G2Jft1dg/yxhls0HeorQKXJPa9BmRmtZviCh9IZt9mIstnBpDLlYtiehgp1yN5CcLK0WOb3bhBJT5zKWFC79-Ks-i_ayMYNx1Pn-M-hfTYWH2CiRNUZVP0XWWLooenhJjOCE3YuMh/v4-Md8i9nOyA9kxMYi_VB6Pn3lU4qU81MAbfmYarwb8),http://www.boldstart.vc/,"BoldStart Ventures III,BoldStart Ventures II,BoldStart Ventures I","""New York, NY""",
Bowery Capital,7c99758bb96b7c2b8d84563d511a81cc.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/QSm52MvA6gGSf8PhMO5S0g/uEiUafAkIWq0VSER6raEiacZu0O1V__sB8-D06NV4PqIZdX7XXsawN7esTL3BB2rfRLpvcKWKUG4YotBbbnwBlvlRpMLPMcfhc3R_rlLh86x2olEqFOcyWdzic1_n85v/Z8qC_0QqYESUhTayTJsDBDBgcgjmfFRw1HnEHvktgpg),http://www.bowerycap.com/,Bowery Capital I,"""New York, NY""",
Brooklyn Bridge Ventures,ce27b59a3ca06ccb60d9353ffb60be3e.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/jBCtjhg2YwF4E1GH1Cpjbw/C-gPTRJ5OPCCG72KOIr_doM3joKz5QnbXUsi9Hjh1dqSwJngJnVNH1IvO8CyNG16FUrHSFMB2PZzwLjjVi18uziW0r5e-_H_ASq1qFFfjtVbQsL2YPYgF0VAutnhnipM/t1P_4apC_K2JklIEcOjbwKkz8X3Z5qqtXOUMz5QSJ_k),http://brooklynbridge.vc/,"Brooklyn Bridge Ventures II,Brooklyn Bridge Ventures II,Brooklyn Bridge Ventures I","""New York, NY""",
Bryant Stibel,o1bcuj40a8m5glrwmhu9.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/E40xPCopjQRtHGd1cAK6Ow/YQZRYFEPR8pjKlTzZVG2PLtIGUgLBk5hSMkbaoBXE7Qk9VMr4tA4b6A6ohqIknVlqgmPtOpsFZ0-su0QG3ZUW2WdCi32ppd7hLJ2kx17xGwpFDI5tuYhahhkiYfQa-P9/z-5B7tZW5yyM_x6ZJdtfCWYwAUP0dBcx5L0Hc-tsGok),http://www.bryantstibel.com/,Bryant Stibel I,Los Angeles,
Bull City Venture Partners,4538497c4fb5f773e3ebaedbd2494820.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/SdVkBnJatvkQP3nCQSafSw/c-VPxcpIUUA8-UFFIc751cRovCq6LykABw8SnAtup9GwG1JFoX5-Tq9tT9ygv2NJyM5SOKHSvSBkslZv-qxO_U1bunloRAmZiz6_67D6ZvHrBfBhaOYUi0O_-WhkVZ33/phnXoQPYIW7SMNFyj9TfIgiDZ3jQBfcXV1Lbh6PTiHk),http://www.bcvp.com/,Bull City Venture Partners I,"""Durham, NC""",
Bullpen,425e57daf38f41914df1c1c1e14a9caa.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/jKSZ9ZWbaSzzTOqMf1MUrA/NBK0xLF_Ow0GTFE4Xx6Sb6o9QxZBHtk2WlJKn9r4OTqGZL2XJ7OTvo3tWYEKBCaxXWWpNXJVSi3T4DKH657xNXNAer7qQ3HsO0IomEN2EXSehGO58kpiQYsKUsLTy654/-ihuuTBbed_1Cg-J6PTZEQkarVsDUtbQZgzAvRM2BY8),http://bullpencap.com/,Bullpen III,SF Bay Area/Silicon Valley,
Canvas Fund,xmudzqztbzsflgtw3lcr.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/e_JUfshqcn2fiX9nSETVxw/T1IJetkhGw2c7MUGE50BFD_xthda1f8CcMTAcWUJOzrDA1Ltapt0oBswUpLCQLWvBZdZN67edQeN6XgD-P1Z-8Sb9gIlMfD390p_6AQDYyZDMflyWar-_DEV0wnet4wZ/frSeSs3HY_8URr9qyKc-56-baOT_R902xpyPw3S710s),http://www.canvas.vc/,Canvas Fund I,SF Bay Area/Silicon Valley,
Capital Partners,ecdd9db5795446f582c0ba6d1c8e3c90.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/0UuqA_5F1DwBVFq1IRtIzg/o6PgTBPziD2vpr0pzw3wIbX2k9CXncUwOLmXCM8JzAbjsyhY2ZB4NV1yme1zN2f4llWHY2EvYf2s0IFFw0sgMK9V2yfoXK77EzZB_DdfX58HkPX8ZGBzuTtJmfgCqVfF/81MiBQTbKrzlbnqOhDzQxQ-yO6GO__boG5ELI4n7vwA),http://capitalpartners.com/,Capital Partners I,SF Bay Area/Silicon Valley,
