Name,Logo,Site,Funding Rounds,Location(s),Notes
Core Innovation Capital,nos4iyqwuz9sgpmmcegh.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/nr74DbIneCAL1rpcSCOazw/olVh0XUhSWeYhnNVDjKZID0jH4qrE0pIsbrdi94GlS1p5UXS5VFsZkyLENjkK6Y408EyjIFNa3q6nGwNFJvaCtA4SKFYkCS-tz-LBszEtxORGSQnxPjBIvfQElF6RLzB/2vwGBTBD9C_SSngcLgbekXGSujbBrpagYLTAkNs4CZE),http://www.corevc.com/,Core Innovation Capital I,"""New York, NY""",
Correlation Ventures,098b5d40b07e1324c4b92bfb8c8e052a.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/nTgHmBZLo0ZoCc2Jg_H5aw/jrvQ96CurTwq-3YymtGXGOCUGqQIp1EvqTqN2u1LxeP6PjCHTm_szNMIUnoGQnq7ueDpDESUBjnHLkqXaIpYslE2cdPluxNL63XNa_ofkLQ9N2A9-oBOawR63lsaXJmk/vNPHRarnkTwOcx8_-916oPEqHD4-ZtfEutUn70EZLN4),http://correlationvc.com/,Correlation Ventures I,"""San Diego, CA""",
Costanoa Venture Capital,sjmqegstnfkohjv6oek9.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/t3VJNIaCYPh3oYGUFHz4QA/7fqIjVxBNWEJ5BkYVFAN0OWjj7p_u-SGYO9FGU-4kGIVmdvUPr0y5w1u63UXnx7cDX0r46WxpzTo3Fhh8LbgFXqy9HamxNlURIJNZXF4hv2yNw87YCBGwwbB8G_N2yXp/_QBsmfAqT3bja0PChvKVZa0lkHtWkm_H1GS0s2Hkulg),http://costanoavc.com/,"Costanoa Venture Capital I,Costanoa Venture Capital II",SF Bay Area/Silicon Valley,
Courtside Ventures,nnwhhshivlz7nczspfra.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/3p7qiyo91zH6z3qSMQ2h8Q/V-jS1swoc-1sRbqtHhf59KcsX9kkS78sXm3geVv_-CaeQjZrvEg4YSMZL1FSfmta3XqPLpduBcYJ8qp1HGwLPfU1tVCP-K6EjC64_3xAINy-KRm8-6xTMcUsexUiacpq/ZHDY5IJLLQbwcAt07bl5VbxXwCjd269EfDPGHJ1i3A8),http://www.courtsidevc.com/,Courtside Ventures I,"""New York, NY"",Detroit",
Cowboy Ventures,fae13beab9fc463dcef42a43d9d4942f.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/3sv7tftAl8tGWoqMZPuMrg/x8fuBOHLAGca_p_foz-tEyT0DUWR09WBmPcsll6ye0t_Daire7CgJVfhDHWiB6KGPEG-Gyu4ht4yWPAXG_etG3BIHcHRdb2V_me3fNQYeQ47tniiC5xgoPQl4gteQHxg/z0ozHiIHtsIGHeMLsVCSLZhn7eRrCC8ABaEwp34JFF4),http://www.cowboy.vc/,"Cowboy Ventures II,Cowboy Ventures I",SF Bay Area/Silicon Valley,
Craftsman Capital Partners,vcin2nm4wyj8hoatbdri.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/6OuTB5J-CCGOLsPjr2ZoLA/n6u5ho31XHBr2PefcAqCuO80YhXupAkZtSYsCDVso9G0Eohp7IZIDZ7oCBHMxI7HbFTJMGk72NJn0_XcIgll478Ee2S90jVo2zkU5WFskao_wKawLbYSU20OxzNptc98/JS0E59IhFq5PyA3QJeQ9kuoxFQyb-71JEsrWjviP_kw),http://www.craftsmancapitalpartners.com/,Craftsman Capital Partners I,Dallas,
CrossCut Ventures,xm4intqnbaijzv5ennau.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/6_UGWY2s4vgmFjhGnY_VMQ/y7AFdzBJzyXYe3CfESuVxMt0oO1YHrJ7F-1zG4UP5Ed1YeRRiqO8jM3c4LeKlrLoiqTwwt4ztNbw4JC63ILdYuNvFeb4yes1dYc9kmKiUuHkYsSxpwlcGhb_d5-mJzSd/W9S57nA1nWXI-DHDR2CTLq6jGNvJWxtj_H01k9LenYc),http://crosscutventures.com/,CrossCut Ventures III,Los Angeles,
Crosslink Capital,zptspfemah9nkpljm0mz.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/xr-IbayM1_PIB0PG0tMU6Q/c6noK3e_OmHJt3N02Acg5yHj8z2rfuaFUXJM2exSEy89o_fMoRrgi5Z53J0-eYU6-fX5U6WQhP1N-NiV5JDSwxJMvjHUr62xaLyuFLgSyFXvu5SqOXBOUwv2MH4accCz/ItQyMttffbqfG9KQUepTKEqUldqF0_BjW8dLWcCzpW4),http://www.crosslinkcapital.com/,Crosslink Capital VII,SF Bay Area/Silicon Valley,
Crunchfund,z6ksg9sgoutkitsbvwdm.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/n91v4vDy365fUWXXVGJYLw/jlqcJ_yYw9f7SHKX-YyW1UHH9dZknjyml5yGiD1PSFToZ5gVmqJ6PvfFjnVzCbUglY19nvveESj6wQrZHoTMiQxsbZ2KlCZy3UhGXzXwjLzXKeYJ6JWtu1diTwcRLlZf/D0V7wCM-QfbdguJO-X6QqF6hnIwdCYPloOw2hIiUXIQ),http://crunchfund.com/,Crunchfund I,SF Bay Area/Silicon Valley,
Crystal Tech Fund,default_image_cb-e2471225359df18a02957cad1c97c684.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/1hLHzTue61iRoHCM2zu7gg/4rFNHP9MscAgavVb1sudX9SHfRQC66CCuXh9m4xMnPDXmxF9yFPirKLCC1cLQY9-cU-kWpJiY5-50Cdxn3ggUAmwgb8wvAzXb3jw0sEAokQNA5gFcFxh9fjmAV7BTzgXc7ABJ88OVgVQIiHKu0mUUg/50ctQuMrOGQFK1V1WNeUCXPsYtXhSfmmSX6-rHXbT-w),http://www.crystalcity.org/,Crystal Tech Fund I,"""Washington, D.C.""",
Danhua Capital,ogij8v0mzf7l1e4gt8ti.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/xxBU29z7aAlvQqJe1atRig/xBhVAewuXGfNrYmz9sgao0X4gW4I1tbtM7-HI_6C9_YDd8I8p7kJcBfU8QqiiCNUcOAoZUQiUj6QFtnFWHIdKVRlg0-1zp4m9EYbRF3KgUqWUHnSY3kQzTl3bjUwKp4O/SjvNVGjDq2N2HndRqylPAH9O2WIbtE26t2NHvqDdZWs),http://www.danhuacap.com/,Danhua Capital I,SF Bay Area/Silicon Valley,
Data Collective,oerb3m0xdc6e2crgiy3x.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/km8X9fW8MlFPrT-ma0dSmg/4B5EcJKNVYGgv1H9egTe9aswdoPa7clUhjYfIfGAZzRpPArROp-DfvJ23QwEw_0eTHo-h8EkJkLl95nLKmneg-XD1Ppy84-jIcDT34JmdqA4HOk6X5rt17AQc4SHcPBV/yV0s0JetVuDPFGJ52ETYoWQLttiNlmTvOL7UAg6ytp4),http://www.dcvc.com/,"Data Collective IV,Data Collective I,Data Collective III,Data Collective I",SF Bay Area/Silicon Valley,
Deep Fork Capital,c57638d4953426c4b2d3e8c82af259f3.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/jg0YDGTzHZikPzlIgUctOw/n7S4xYp_bn18bBGNOLQjssp38iMHgM9wUAUh_uAyA8CcY71z4ihU17TOWoSlqe4_sl1uiy-K5PcKfcEmnTHybS3llye7S3aq9ALDXF2u7a122U67EBf_2ZkbYTYxz9wO/z-OwejkeyBVOI_vPZojjqnIP-nYjhV-fCcjUexybAtA),http://www.deepforkcapital.com/,Deep Fork Capital II,"SF Bay Area/Silicon Valley,""New York, NY""",
Designer Fund,mpjiithjnvud5zfhnnlg.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/94Hha_o90v078pUtGXZg8g/dv2Aa32j7Wn_qvggQmsPnyhUHh3_b3nceKyGKigFGh6QpW9jRWh39kgTzUThQ8AZER7NOo849M5HQRY1JThq9qIi7EB_5lasuT7zPBDhInZjpMkpG3feOEzrkoSnWrXF/adAVtQDL7MpuRSvYTe-K4PIIlYV0R7hd2pgg9rB9oYs),http://designerfund.com/,Designer Fund I,SF Bay Area/Silicon Valley,
DN Capital,9c968fac08dd53791219d3caccbc453b.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/drV4eufx63eRxWTMP2MMGQ/du_rg3QXyigELeaEHsSn6cEWn0Qjb1phMt7GTbaSpxqxXm8dF-mSTrDnbzKeCezOKQ4zQdKoCwULZf8hHKlzktd78KHj2iHoXoBlN24_zKdKqcLX3_bQDhQNLm7GNs82/7uACQgKwvZ1F2Fb9QlMPZw_IO7I3HID9tGA92UQKTME),http://dncapital.com/,DN Capital III,"SF Bay Area/Silicon Valley,London",
Draper Associates,ltlapqz9ek6ogthkjegj.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/MGh2S43uxvNLxTEqCsdPCQ/_HWIq1ErW5eBhBYsdK6v0r4FVjQ0rbch_Lx7bFE8nVpruZCw33eDkrIEvdzo9wieXyw9W5en7XV9yVplaqItQ-YvOOFBxIHAFVh1QbgPOqSmwASLApxuuWrbGC5pR3Yn/88xrFUjMjFRkYvubcVay21-_tHA-HibrVODQOn8TPhs),http://www.draper.vc/,"Draper Associates I,Draper Associates V",SF Bay Area/Silicon Valley,
Draper Nexus Ventures,68a5213c3b6f4ea380995e54850469fd.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/o9_dZopGO5UhN9gUk6zVYg/tWkMQHHdgyd-QDLN2lHBcjkIoDNXbhg1JNpUJ2HdfShJjt3rC1xu6VOppy6wKynLk85VyrABOG6_sfkLnIYTRLoDVZ8GfGMYCJ0OkGvbEZgtvZkIXHgLRIpv_lrlb7U-/qXvaa_PR61n-TWwyLBSdtK2ecLfhtU1qwSSPQ06kOhQ),http://drapernexus.com/,Draper Nexus Ventures II,"Tokyo,SF Bay Area/Silicon Valley",
Dundee Venture Capital,lurg0eeflomijwqy8yvy.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/7dVMPmlbHzgHYv1aZrxD8A/l-SbKHhj7b1cqVuNdWVLcrzxTSjItrn7S9eIuUblA7ppXFVQTRWY-CpgkCebpRXUlkiITbQGPU0_B6HiJ5Iq6Uggq-4h0JrcyTl5LHYn1GCD6A4Oz9M7AE_ZjMVlJV41/uKtr0NDbGJPd6Eyw60UmY--SomCCOdHgvVewzTH_3Qs),http://www.dundeeventurecapital.com/,Dundee Venture Capital II,"""Omaha, NE""",
Earlybird Venture Capital,yy4jtqad5kplh0dccnko.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/6UXvf0BmZmQ059t47bDR9g/md45S1Im_oLLNOf_ghcL1ARa4Nv4GkBEnXMIx2fh_CDM1f5gM-UbNyIWd8w2FzDCRHu9zsaopV6uCIPMXec7k5zNAs65dqeopGGDqfa0tp2ujGpZMoWMQpUKUXCmYP2o/_ZXQQa6teX_T7PzErA0LhLpdXst3W89Y60BZQY32pZs),http://earlybird.com/,Earlybird Venture Capital IV,Berlin,
EIS Angel Co-Investment,3f405dd27b6bea895c87c1fe1490c2b9.gif (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/iweqSBuat-dN571LCv1EMg/G2WtvqmKvDyNVumQ0jfqxmQk4UO84Wh-EXejGf4qmfVPmyQ2Ad-79KB3oUFCg6XTh7PWWR3d_qK6UE7-WBOcReMkwYajNdIjccI6jRNeaMyAzBNdleKAtMVKtV-kMRD9/xCaT0zt-WedA1MAwYu3FKlUy7vHzs3msFUPZjSuBoOQ),http://www.lbangels.co.uk/,EIS Angel Co-Investment II,London,
Elephant Partners,,http://elephantvc.com/,Elephant Partners I,"""New York, NY"",Boston/Cambridge",
Emergent Medical Partners,23d8aca39fdf57c4fb2fd303ac9530ef.gif (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/xDkfzqUEeH4eWaOqj6JnYQ/CWbCBY0aALbNI5P5GBJ4GB6CQgWf7VmXFJEDiYrqoqO_X-_xFoV8LTJXYEGdql88FcfsOJ26bw6glkrc5mo6DfjOkIGUzrRj9qDsi7H6HPBGYPhFEyO8wUIXgzdBYRSX/NyOSVHI5eSoR836x8gKFqEi6Bw5j9s8sd2FX5Bhzmx0),http://www.emvllp.com/,Emergent Medical Partners I,SF Bay Area/Silicon Valley,
Engineering Capital,tvoltujc8zm2zr8npi7l.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/mGXxUxMzya1i7z0oFCM8vA/aR5rlJ6r-RAsFEMkMDcImgijRmbqzGWgZp5YAuNhM2b6VYwG96DyT8szvVNwGYTsYJTDCj-vBDeKXwPHmKBoYfebJjljoIezPALnWb0xqh6f7dY56Chzj1UktpUNp1F0/aS5oim6c-f067O1OJ1_fbYBfWiZCNgRL_1XVjyNK1Yw),http://www.engineeringcapital.com/,Engineering Capital I,SF Bay Area/Silicon Valley,
ENIAC Ventures,mjraop06ordaju8gtrb4.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/iudE-JhQ0gFPPdG_zJbCWw/pEnnjBLqzFb_3RIRpAckeMC1Q0-Vd9R-0Qv9Je2DWO8J0uASUsrDOg7lkNocA_vnrJRHOQCw3XrDYFSmpWc3NC8myDFeR0elLCL0XhI3fVXa3cFlX1ZWqQ3T-aFz6zel/WaUVF0x1oeibhWdxxLTS4fF0pk6k8MXxEVGOW81WbGM),http://eniac.vc/,"ENIAC Ventures III,ENIAC Ventures II","""New York, NY""",
Expa,0677cb27a8e2930cac92bdf511f78ec2.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/-Vs0eWfRxuxJejYiB6Pu9w/ygp5STuTeg13MspWF_6-nJoa6Sk32H9wwJmyn6sCo37XhA68m3gigj8Zm_UB2TpGClxPKxOae2vXGFNZXezZZ2bavIKmBJGdOZGb8qdXem1lJniYwiZ0eGsES4-WrvON/a8z4i5mcH4CcZi8vjjYXxmKu3_r5IfXGA16Fsg2hWXA),http://www.expa.com/,Expa I,SF Bay Area/Silicon Valley,
Felicis Ventures,d9aqjy65hhsdpcqvstte.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/beujmOoa1Scj1_r5M0Dg5A/9wJ7ZgSo6bYYl4IPh6ECzr64fnQR3LZRnAgkBm_vlHAQzAZOKzROGgqUjGI73LPFJUmqkWGmQ5u4tMEq-nuCLXOrKsORJI3xNg7Mtk5TNFGhOKgGZYxf8UafKaaaZdHn/nX5GWZcF-nhHyIpAeVUDxaIi2BP9SrHz2uUWiAlAKww),http://www.felicis.com/,"Felicis Ventures V,Felicis Ventures IV,Felicis Ventures III",SF Bay Area/Silicon Valley,
Female Founders Fund (FCubed),pk2qkxqcryqvsrva8w6k.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/gR4exJhEG-U1u66Tn5MYzw/M54DiYo-lp-vKJ6aPdBjUOPpUV_J7mQs_EaU8kzsAMCevFu9FUz-iyf45MrIgUxAEmYOn7Qbh8IWCshowbmgQWYZUABYT-MkcHicxNgQy3Yc3L9iAYqOOGXshLsKy3LV/qlR5-lUM17axUrn38YqiRc8ybX4XFND_UXSqBsWUo6M),http://femalefoundersfund.com/,Female Founders Fund (FCubed) I,"""New York, NY""",
ff VC,oblhjodv4mesinvjjg3k.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/RyjRcj672ld-FezfFIG5rA/zaeP-YgVNXAfM8sbXr8o-SVjQdEdP1FmofI999RmbqTxrK8_lolTg4IMmTy5Ve2NOxsHFNi-mMuA30wuqDjuBrKTag37txRx36Pwpf2fHI6H8apUhrWphqB6vaRDp872/vvdCRRTnQhbUFQH9y9l3sK9WdV1BsslKj5XKsp7n1ig),http://www.ffvc.com/,"ff VC III,ff VC III","""New York, NY""",
First Round Capital,qulwlsgonnklkvnhevze.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/vahswAK5YPjlyS7bgY93Vw/TCRI5wmkJ8ho_UcZfJmnnMhNbJ09zvM_V2WIk9X-R6gN8NPs3nciW4OQFcjHzQYwrDEfeYA5C-bFc-5BPgS_6mYnPQXvfAcvKQ9-qbvM4tOuPa50XHMOFVLuqhj7q1fA/z64AfMkaBK4zL7ZW1OZO8lnRtnGWmtuI4hORSxmv5Nc),http://www.firstround.com/,"First Round Capital VI,First Round Capital V,First Round Capital IV","""New York, NY"",SF Bay Area/Silicon Valley,Philadelphia",
Floodgate,715caf16e22061514b2b37d53d656aa1.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/K51okkke2Wx7q8vfnwJBOQ/wx4hCbK9Puk_LH3OIHOU4HpKXuhLYncZMhdzI0YYyQCfgjJ1IBf1lg4i2mWKo90__FVc7TOEdnzYg2eTCXGWGbbmUXhsZN2fQ99xWnueXtR3lX0DmNILZSNGMDxL7CBM/Mb2GL1cWrbJ_DhSmKVckW2-MlPQdLfB0KE7J7P1W8Nw),http://www.floodgate.com/,Floodgate IV,SF Bay Area/Silicon Valley,
Forbion Capital Partners,914212cd24be1055fadd35d9cd816f13.gif (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/mbnkjLzPMCW_a3H3wnZ91A/6g_PRJMxa9C1tj6268OVEBZrDbqxRIVa93G1pGVoWcv32Qp-B87x2bsooYwe1Rltb-Iz46pzwME3JUt0FYJnLgFVTLTRkSWuvnp1ySeBDQ2yKgkwN9VuTR87FqDvWuoh/AlrQHUPdqETSPzfMZT3g4dJlDGNMwZR7ASxqVl5UJNM),http://www.forbion.com/,Forbion Capital Partners ,"""Naarden, The Netherlands""",
Forerunner Ventures,cc7c7aa5154176e50b3fafc400e2323b.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/H4WU0-SSIOFspBzcQ2dyOQ/rVIIMx_tXgjjpSqCiGgei5MGS45iIjwKS62UGffjDDX5I1kjKlhG90KNf-QFiR3snnV_uSE_vlkEIRBuamOJs-spg2C99Sk0mJ8Z8hyVCM6uRqvWB9L8mmYHeDbApqOF/MxKxZTCxkWNoNbALM83SXv8_rPxED-A3WHkfT38lG20),http://forerunnerventures.com/,"Forerunner Ventures III,Forerunner Ventures II,Forerunner Ventures I",SF Bay Area/Silicon Valley,
Formation 8 hardware fund,ocbzej8xmbplps2qq3kh.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/RaRR8Wgs1i7DBZ3dhkOHYQ/30ddwKq7_OtGBhEcUGLOeHL0x-2V4Oi5g9QjAyeOZxQE7YR1PDpzbQwpsC6EvIAHpjTPQ3sWzdEOknQHXCm3zoWfotuORgU8vgg0R8RHgR-WAkSLHmIfwNOfe2RaNiCx/-dNGuqynYyZkQwXZHdOuG3c9kz-sLhzzSySB0Cql74U),http://formation8.com/,Formation 8 hardware fund I,SF Bay Area/Silicon Valley,
Founders Circle,squarespace (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/NsEqVyrhPfV0oMVGmdE-Ag/z3TYzc6k6u2nESfGylVYBjWTSlfsPqPbnIhlF4TAECWzVK08qRyESQCaQPetduTVgbooJ3EDphx0-Z7aRY_vXQRv9VumcRdCz8VZ7aXiLKY/YbVmplGwHnGwPYjE2vL4olJ3JTsav-Ji6z546Hn04K8),http://www.founderscircle.com/,Founders Circle I,SF Bay Area/Silicon Valley,
Founder Collective,a44614ef903df9d1c336bdc0438fac78.gif (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/LyADUipq-iNgr4zdWEH-LQ/DQQduSWJt406XNV7cJ5kIStG6ugOx-nSyW8EhRgZKjHdnfC1WrtqAMjLCT9sJM16wsEq5W3eUFhA8hyAEGh35hSMjx_jhcWeDylkGFqNsTUqud2VmnPn_2SOT6uGtvJc/JgVr7OZbVTVTNafqz8aQOQ4V1O8QIl89OZGtODCN4sw),http://foundercollective.com/,Founder Collective II,"""New York, NY"",Boston/Cambridge",
Founders' Co-Op,ccc50d7eee6ec77ec8162ddb01771f59.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/mp3G4Urck69iTRk1x-fqYw/rsSJCJkyM8ZYKgA1iK7mEDv353NfvH5JBbJt2vjw1EEeVow3GU9HGeAAHjdDeC6o9qrxc_3qoyp1hBaRc2OpNACCs9Q9IMrMmSxzbCmhWOLhpqqCydA8_qoDLqf1gTlr/LkHwCfUqa6fZDzYrrGkkevBGzb0CjflmzdTTpiQA0vw),http://www.founderscoop.com/,Founders' Co-Op II,Seattle,
Freestyle,8335ae4d68906f4fd11012d3ce701f4d.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/YpI-MiHcX76Bjd1bs-1FyA/gXlaCtgj2QFRoOEOKihsB4Vi0Lp67ahx731pYLwD9M818HHR7KydBk6dlqLWJZixFwJVEB-dYCc0Me1cFjp4JD6YEeLotBNUmDNu0eJNN9R1Tw_DuGC-DdwfNn-XAfBF/NznUUL_wac8wn1TrDOtuC3P2lydt3EeT2z2G9uUjO5A),http://freestyle.vc/,"Freestyle III,Freestyle II,Freestyle I",SF Bay Area/Silicon Valley,
Frontline Ventures,863daa91a3ecb96fed179502587ff7a3.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/9XB81yYbDiGTTGXmV-jJnw/NTNpKrOmBirdcrFz7ZKJCcZ4AQ-SIDxwIApaPWplI8ZglhefMh15dv5kFVgQB_pBotkm_mcFB8c1Qfux9hol_lbH7zxYKh5kox8xXKV_u292nJA6urqQMiPmTMC-yj-N/45HJ2u0SM25QrPoQHPNkUl8k_DIcAUoFP2Kj0xyvL1o),http://www.frontline.vc/,Frontline Ventures I,"Dublin,London",
Fuel Capital,ea14b9ed38535f48cf1ce0a63d97c9b5.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/DEVhs3U8sm8mSG5PFZ4hoA/bwsBoIKznTZCqXrYyKDfA5g3ehUfhFsaAJWst9PFTK0O5gxqgs1IQegDDwNLFqFOUW6rGDIzu5ULe4gF6i_Dh-9983qysAaORJ_cto8rkeze8KlIloqZo5c0QLxDZsls/uYGyrf0fqv8nElA7fJbP1kfO80mcHXbAUQ9dtzZBgZ0),http://fuelcapital.com/,Fuel Capital I,SF Bay Area/Silicon Valley,
Golden Venture Partners,37932c068e6b1cfae6922ef0a12b9e3d.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/iFUIwnCBvRwuEBTEeGC4bQ/Mjs_wkSVbuOIik-jB89NcdgOkNOdiX0DZyoRA878iz8_9h1eGaq38zjiNOCKHh0lDDAWcz0QeAs5GoJXaY_8PH1T6FBOwffAMIfn9Nd96Hojrd_EXuYd7wIozNrf-9Qg/udiPAwYZLf5RLOltaDfQcHDO4AvfrUWYx1rv3lYP8O8),http://goldenvp.com/,"Golden Venture Partners II,Golden Venture Partners I",Toronto,
Greenspring Associates,f9efebcb5299d317c2e91cc0601132dc.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/CLJnNgjE8-vu63pEL5Z_Xw/jnJOtJXj19kOV4l8S61iD6QYZUtrLfgqyzjdi27Sz0R13MtlA2kMiMfbPqzuEpiBSVzS4R4LrAfKiTEuneNdVxLCSx8EC1XwFd3ibam-wmcYsMrbBH1r4lx7A_GNNf7Y/K4TeiBWf0Gnw5zLtVvSqlLILnNJ-MQoIrifONroDkgY),http://greenspringassociates.com/,Greenspring Associates II,Baltimore,
Greycroft Partners,qosgi9hdybyph3ulalyr.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/4L_5-A6J_Nci3q1GBf0u_Q/y9683S4BPW8yANNxhKu2TcPc-GhSmog8NEvrwZ2LcCwGFj8SR8f-vzBbmlt1WDrKsD-OFb7RBhM5t2h_RiPvVH-NjM6pUZFE5NlmRui9OoZNQPyZY-GUT5fIuHpYtMxK/VErbhglhECDcjfDcUpXK4QFBx0Z0ARq0Y0bFHe_uuZk),http://greycroft.com/,"Greycroft Partners IV,Greycroft Partners I,Greycroft Partners III","""New York, NY"",Los Angeles",
Grove Ventures,vzdbvwxboafxmnlixtza.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/RyVVJDOj0k73OU1GjyN47Q/40I7NiaP2G0TiSEtZHtY_i3vgtknqkI3oBJvkOC-u-q-jpmJkpyvPC4_aLPa13fXl6r4BzYRgUReyKbi4vBzXDH0ckBvvAlK9r4fklxzs3cypIYwZJt0TmQKhirAMR9a/A0PefnpL9AwIG_2KRPKqiMykT4T3MOA-Xs8Bg0-T7mg),https://www.grovevc.com/,Grove Ventures I,Tel Aviv Metro Area,
Haystack,jq2bb8trcj82b2qqetzk.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/-wJ8lykCp33Omdl998omCg/yq55hIzneVzPEx2F67g4MLs2R6zVzhmgfGyauhqCK5DyPzsa7UXFEqBn-qJ31WwoQ19ZmgClrs3MGlOqyyg5MUdcvzhwRUr94zJQTqudJaFo29Gw2YV5sVx-kEuPxhqi/t-EHW14LM0MzP1eS1AKIhImx-5hku7fCcoDvDDFnYrs),http://blog.semilshah.com/haystack/,Haystack I,SF Bay Area/Silicon Valley,
Homebrew Ventures,011a4fd00c81d5d3b558cbcd54ea9175.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/FrPBsXl3SwMN8jVC9h7_iw/s0zQh5No36V4yXUztdAphRqjs5SQB3dtiVrygfIx_4j-1oeGDlYCJtsgMXsWq15YlXGDxzzdQhEwCwusrizS0jPpbLROMsGOKp5VsDdu5Hxlc4U28HorSLvkhP9Zwl8O/aRRPLl5wizmVCXtT8VAmqUAUD1xQ8cGe5Hu66p9Ncfw),http://homebrew.co/,"Homebrew Ventures II,Homebrew Ventures Opp Fund,Homebrew Ventures I",SF Bay Area/Silicon Valley,
Hoxton Ventures,9f082498f7363983d2a06fc02019edf5.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/p7jHjUTaDU-1orQWTUY18w/fjXFPpldcgG3KrHGkZ6FlprkS7wdLs_sjjHDnAzOPZn2INqJ2OmAbjcltUC7OjG2ip3QOTrtbXWLJSFl11jm1Sd3q2mLB0zrdbH--plTeseK92DPGx8XXzas0-qzf2UJ/Hb3WkCGrJD0k0JsqRdKZ6ZVK4Fi_pntbKpKIoJKnS34),http://www.hoxtonventures.com/,Hoxton Ventures I,London,
HWVP,kivsl3itsep8hkdj1ova.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/WlYp952adDEGWz9JOA2bYQ/BBx-wGo7CofqJELvqGLbiRyzJjqzrNcTSI_xmAYCwh7NVszDW4JIpgVpRbPFhtJ6PY4grwUuZ05P4vlY4UXr74UDI_v7QtS8zdhYVcgIq2pQVQhsa6blQMGpcn0NFgZT/DzMnhxnzybTUacQgBNZIzLGqMeQMMAtvzgoPElPjnVc),http://www.hwvp.com/,HWVP VII,SF Bay Area/Silicon Valley,
I2A,e8c8d7ba59d1c4120872540cd7e24578.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/qHb-pmMa3DcwQg3TjDB4lg/DpqzkeEZ_JU4L8NF_x5NcAsmDbP-kespMkbRM7r9cXpVOBEItCRE5DdetE_qUY70rBqDRmyh7t92JIOwcatZ4LDNyKijj7WTOxz7YpDTgwu8Ee8-GoP2_jHtAVKGgrfJ/QcGRO8WpPoAh-CehQEMFmzpa4ObtfcpbL0xNaegoRE0),http://www.i2afund.com/,I2A I,Chicago,
IA Ventures,64e77b7718260da88a1d266ac489c067.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/3emy3TgEXxvmg10HlV8Vjg/bPE5PIBQFfKueaP4tyGalAjlez8MLa864lkFZAZ-turGEnJCRB5t-_h5XPviGbbhBxOsclZC14TVWjOdyvR-uXKe51Zzhxmx0tX8XkaeldwNpKJA3ojPKH3GzxnofoDQ/-M2oVG52rlBuRIXMQ8ANJK9AbOH1qEGehbb5k6dB9io),http://www.iaventures.com/,IA Ventures III,"""New York, NY""",
